S1.No.	Name	DOB	Blood	Gender	Height	Mobile.No	salary
1	Tejaswini	31-12-2004	A+	F	5.5	9746377665	746454
2	poorvikaa	07-12-2004	o+	F	6.4	9657483586	746465
3	Swapna	13-11-2004	o-	F	6.4	8105673489	746454
4	Aparna	20-10-2004	B-	F	5.4	9656365124	647465
5	Yashu	26-09-2004	o+	F	5.6	9875658773	646746
6	Shreelekh	03-09-2004	B+	F	5.3	6585756575	756456
7	Shwatha	02-09-2004	B-	F	7.5	6484645756	845657
8	Ashwetha	09-08-2004	A+	F	5.7	8456758575	856455
9	Shekar	16-07-2004	A+	M	5.6	7565757564	654746
10	Ashrith	22-06-2004	B-	M	7.6	7567587565	746465
